City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Sukumo,JP,32.9333,132.7333,63.75,97,100,3.44,overcast clouds
107,Aleksandrov Gay,RU,50.147,48.5704,43.54,86,98,23.02,light rain
108,Longyearbyen,SJ,78.2186,15.6401,21.04,73,75,4.61,broken clouds
109,Zalantun,CN,48.0,122.7167,40.95,30,95,12.55,overcast clouds
110,Kytmanovo,RU,53.4593,85.4479,34.75,63,0,6.89,clear sky
111,Houma,US,29.5958,-90.7195,78.03,75,75,11.5,broken clouds
112,Figeac,FR,44.75,1.9167,57.58,90,25,2.57,scattered clouds
113,Sechura,PE,-5.5569,-80.8222,76.42,60,27,18.99,scattered clouds
114,Oum Hadjer,TD,13.2954,19.6966,88.63,11,3,9.66,clear sky
115,Zhigansk,RU,66.7697,123.3711,24.44,85,100,7.76,overcast clouds
116,Port Alfred,ZA,-33.5906,26.891,64.18,93,99,5.99,overcast clouds
117,Calama,CL,-22.4667,-68.9333,66.69,13,0,20.71,clear sky
118,Muros,ES,42.7762,-9.0603,53.83,87,11,6.58,few clouds
119,Constitucion,CL,-35.3333,-72.4167,56.75,78,1,5.17,clear sky
120,Yunyang,CN,33.4474,112.7142,54.41,39,100,14.63,overcast clouds
121,Luanda,AO,-8.8368,13.2343,77.68,89,100,6.11,overcast clouds
122,Praia,CV,14.9215,-23.5087,70.34,73,20,12.66,few clouds
123,Homer,US,59.6425,-151.5483,47.05,58,0,5.75,clear sky
124,Betera,ES,39.5833,-0.45,60.12,63,0,4.61,clear sky
125,Erenhot,CN,43.6475,111.9767,33.76,28,0,3.65,clear sky
126,Fortuna,US,40.5982,-124.1573,55.85,69,100,9.22,overcast clouds
127,Alice Springs,AU,-23.7,133.8833,69.22,32,40,0.0,scattered clouds
128,Glendive,US,47.1053,-104.7125,26.69,84,75,25.32,broken clouds
129,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,78,20,9.22,few clouds
130,Mahon,ES,39.8885,4.2658,57.76,82,0,12.66,clear sky
131,Togur,RU,58.3631,82.8265,31.12,94,30,7.27,scattered clouds
132,Samfya,ZM,-11.3649,29.5565,66.27,93,100,7.05,light rain
133,Poum,NC,-20.2333,164.0167,77.2,82,91,2.06,overcast clouds
134,Cooma,AU,-36.2333,149.1333,49.77,100,24,5.75,few clouds
135,Alghero,IT,40.5589,8.3181,60.89,44,0,6.91,light rain
136,Guerrero Negro,MX,27.9769,-114.0611,69.51,49,60,17.02,broken clouds
137,Alofi,NU,-19.0595,-169.9187,85.89,70,40,9.22,scattered clouds
138,Cidreira,BR,-30.1811,-50.2056,62.53,61,15,12.08,few clouds
139,Taft,IR,31.7471,54.2088,71.55,22,0,13.8,clear sky
140,Taltal,CL,-25.4,-70.4833,61.65,79,42,1.16,scattered clouds
141,Ambilobe,MG,-13.2,49.05,74.19,89,38,3.09,scattered clouds
142,Tezu,IN,27.9167,96.1667,69.21,94,100,4.97,overcast clouds
143,Abu Dhabi,AE,24.4667,54.3667,82.51,68,0,5.75,clear sky
144,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.36,65,0,6.91,clear sky
145,Bilibino,RU,68.0546,166.4372,22.33,86,83,4.07,broken clouds
146,Teguldet,RU,57.3064,88.1667,25.81,97,63,2.48,broken clouds
147,Lagoa,PT,39.05,-27.9833,60.71,73,3,19.86,clear sky
148,Saint-Pierre,RE,-21.3393,55.4781,78.48,79,100,23.02,overcast clouds
149,Sao Filipe,CV,14.8961,-24.4956,71.53,75,1,9.31,clear sky
150,Mayo,US,38.8876,-76.5119,70.21,59,0,12.66,clear sky
151,Parana,AR,-31.732,-60.5238,64.54,82,0,4.74,clear sky
152,Naryan-Mar,RU,67.6713,53.087,26.89,92,100,19.1,overcast clouds
153,Meulaboh,ID,4.1363,96.1285,76.69,89,98,3.38,overcast clouds
154,Rovaniemi,FI,66.5,25.7167,31.41,80,0,9.22,clear sky
155,Barcelos,PT,41.5388,-8.6151,57.92,88,3,4.63,clear sky
156,Marawi,PH,7.9986,124.2928,67.77,92,92,3.15,overcast clouds
157,Vysokogornyy,RU,50.1167,139.15,22.75,92,95,3.76,overcast clouds
158,Quatre Cocos,MU,-20.2078,57.7625,78.1,79,63,18.34,light rain
159,Fort-Shevchenko,KZ,44.5086,50.263,50.0,61,5,7.87,clear sky
160,Itoman,JP,26.1247,127.6694,74.17,90,75,6.91,broken clouds
161,Aquiraz,BR,-3.9014,-38.3911,82.49,81,63,6.91,broken clouds
162,Half Moon Bay,US,37.4636,-122.4286,63.03,82,100,17.27,mist
163,Tilichiki,RU,60.4667,166.1,20.48,90,99,5.39,overcast clouds
164,Armidale,AU,-30.5167,151.65,52.03,84,21,9.33,few clouds
165,Vaini,TO,-21.2,-175.2,84.36,84,40,9.22,scattered clouds
166,Drumheller,CA,51.4617,-112.7101,30.06,59,100,13.8,overcast clouds
167,Byron Bay,AU,-28.65,153.6167,65.71,80,52,11.77,broken clouds
168,Sayyan,YE,15.1718,44.3244,58.86,39,11,2.42,few clouds
169,Hambantota,LK,6.1241,81.1185,79.68,85,99,7.31,overcast clouds
170,Lasem,ID,-6.6922,111.4527,75.97,86,71,4.12,light rain
171,Severo-Kurilsk,RU,50.6789,156.125,30.02,75,85,22.1,overcast clouds
172,Saint-Augustin,CA,51.226,-58.6502,31.84,97,95,4.83,overcast clouds
173,Airai,TL,-8.9266,125.4092,61.63,85,94,2.17,overcast clouds
