City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
93,Esperance,AU,61.74,overcast clouds,-33.8667,121.9,Hospitality Esperance
94,Amuntai,ID,72.95,broken clouds,-2.4177,115.2494,Hotel Balqis
99,Bethel,US,69.91,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
100,Maragogi,BR,79.99,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
101,Phalombe,MW,67.82,broken clouds,-15.8064,35.6507,RIVONIA
102,Margate,GB,54.7,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
103,Carballo,ES,54.86,clear sky,43.213,-8.691,Pazo do Souto
104,Musoma,TZ,72.12,overcast clouds,-1.5,33.8,New Peninsula Hotel
105,Castro,BR,58.32,few clouds,-24.7911,-50.0119,CHACARA BAILLY
106,Sukumo,JP,63.75,overcast clouds,32.9333,132.7333,Sukumojo
107,Aleksandrov Gay,RU,43.54,light rain,50.147,48.5704,Gostinitsa
109,Zalantun,CN,40.95,overcast clouds,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
111,Houma,US,78.03,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
112,Figeac,FR,57.58,scattered clouds,44.75,1.9167,Maison de vacances Chalet Le Lac Bleu 27
113,Sechura,PE,76.42,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
116,Port Alfred,ZA,64.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
117,Calama,CL,66.69,clear sky,-22.4667,-68.9333,Park Hotel Calama
118,Muros,ES,53.83,few clouds,42.7762,-9.0603,Apartment Av. Castelao
119,Constitucion,CL,56.75,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
120,Yunyang,CN,54.41,overcast clouds,33.4474,112.7142,Post & Telecom Hotel
121,Luanda,AO,77.68,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
122,Praia,CV,70.34,few clouds,14.9215,-23.5087,LT Aparthotel
123,Homer,US,47.05,clear sky,59.6425,-151.5483,Beluga Lake Lodge
124,Betera,ES,60.12,clear sky,39.5833,-0.45,Aparthotel Wellness
126,Fortuna,US,55.85,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
127,Alice Springs,AU,69.22,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
130,Mahon,ES,57.76,clear sky,39.8885,4.2658,ARTIEM Capri
132,Samfya,ZM,66.27,light rain,-11.3649,29.5565,Chita Lodge Samfya
134,Cooma,AU,49.77,few clouds,-36.2333,149.1333,High Country Motel
135,Alghero,IT,60.89,light rain,40.5589,8.3181,Smy Carlos V Alghero
136,Guerrero Negro,MX,69.51,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
138,Cidreira,BR,62.53,few clouds,-30.1811,-50.2056,Hotel Castelo
139,Taft,IR,71.55,clear sky,31.7471,54.2088,عمارت ساعتی تفت
140,Taltal,CL,61.65,scattered clouds,-25.4,-70.4833,Residencial Karime
141,Ambilobe,MG,74.19,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
142,Tezu,IN,69.21,overcast clouds,27.9167,96.1667,Circuit House
144,Havre-Saint-Pierre,CA,41.36,clear sky,50.2334,-63.5986,Auberge Niapiskau
147,Lagoa,PT,60.71,clear sky,39.05,-27.9833,Casa Das Faias
148,Saint-Pierre,RE,78.48,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
149,Sao Filipe,CV,71.53,clear sky,14.8961,-24.4956,Hotel Xaguate
150,Mayo,US,70.21,clear sky,38.8876,-76.5119,Resorts Resource Group International
151,Parana,AR,64.54,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
153,Meulaboh,ID,76.69,overcast clouds,4.1363,96.1285,Kost Pria
155,Barcelos,PT,57.92,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
156,Marawi,PH,67.77,overcast clouds,7.9986,124.2928,Derogongan Residence
158,Quatre Cocos,MU,78.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
159,Fort-Shevchenko,KZ,50.0,clear sky,44.5086,50.263,Oasis hotel Bautino
160,Itoman,JP,74.17,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
162,Half Moon Bay,US,63.03,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
164,Armidale,AU,52.03,few clouds,-30.5167,151.65,Abbotsleigh Motor Inn
167,Byron Bay,AU,65.71,broken clouds,-28.65,153.6167,Backpackers Inn
168,Sayyan,YE,58.86,few clouds,15.1718,44.3244,ملاطف ابوحورية
169,Hambantota,LK,79.68,overcast clouds,6.1241,81.1185,Bungalow 63
170,Lasem,ID,75.97,light rain,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
174,Ponta Delgada,PT,63.32,broken clouds,37.7333,-25.6667,Vila Nova Hotel
175,Gigmoto,PH,77.02,few clouds,13.7796,124.39,Cj's Travellers Inn
178,Saint-Leu,RE,77.86,light rain,-21.15,55.2833,La Caz Oceane
181,Dingle,PH,75.16,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
183,Bermeo,ES,57.7,clear sky,43.4209,-2.7215,Eco-Hotel Mundaka
184,Impfondo,CG,68.13,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
185,Mar Del Plata,AR,59.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
189,Shasta Lake,US,52.52,light rain,40.6804,-122.3708,Shasta Dam Motel
190,Ballina,AU,66.38,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
191,Lebu,CL,55.08,clear sky,-37.6167,-73.65,Hostal Las Lilas
192,Vila,PT,46.71,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
193,Ibateguara,BR,72.66,scattered clouds,-8.9725,-35.9394,Auto Posto e Pousada TopLine
194,Matara,LK,78.58,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
195,Itaituba,BR,77.67,overcast clouds,-4.2761,-55.9836,Hotel Campos
196,Ribeira Grande,PT,61.2,broken clouds,38.5167,-28.7,Quinta da Meia Eira
199,Dolores,AR,55.53,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
200,Athens,GR,59.16,clear sky,37.9795,23.7162,Safestay Athens
203,Nachingwea,TZ,69.57,overcast clouds,-10.3833,38.7667,Makoga lodge
204,Thanh Hoa,VN,75.31,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
205,Broken Hill,AU,66.88,light rain,-31.95,141.4333,Royal Exchange Hotel
206,Punta Alta,AR,62.42,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
207,Katherine,AU,79.12,overcast clouds,-14.4667,132.2667,Pine Tree Motel
